Algorithm,Distance,Parameters,Number of clusters
neighbours,Euclidean,k = 10,41
neighbours,Euclidean,k = 20,26
neighbours,Euclidean,k = 30,17
neighbours,Euclidean,k = 40,12
neighbours,Euclidean,k = 50,11
neighbours,Euclidean,k = 60,8
neighbours,Euclidean,k = 70,8
neighbours,Euclidean,k = 80,6
neighbours,Euclidean,k = 90,4
neighbours,Euclidean,k = 100,3
neighbours,Euclidean,k = 110,3
neighbours,Euclidean,k = 120,2
neighbours,Euclidean,k = 130,2
neighbours,Euclidean,k = 140,2
neighbours,Euclidean,k = 150,2
neighbours,Euclidean,k = 160,2
neighbours,Euclidean,k = 170,2
neighbours,Euclidean,k = 180,2
neighbours,Euclidean,k = 190,2
boxes,Euclidean,threshold = 0.6798157095909119,11
boxes,Euclidean,threshold = 1.3596314191818237,2
boxes,Euclidean,threshold = 2.0394471287727356,2
neighbours,Manhattan,k = 10,42
neighbours,Manhattan,k = 20,22
neighbours,Manhattan,k = 30,17
neighbours,Manhattan,k = 40,14
neighbours,Manhattan,k = 50,9
neighbours,Manhattan,k = 60,8
neighbours,Manhattan,k = 70,7
neighbours,Manhattan,k = 80,6
neighbours,Manhattan,k = 90,3
neighbours,Manhattan,k = 100,3
neighbours,Manhattan,k = 110,3
neighbours,Manhattan,k = 120,2
neighbours,Manhattan,k = 130,2
neighbours,Manhattan,k = 140,2
neighbours,Manhattan,k = 150,2
neighbours,Manhattan,k = 160,2
neighbours,Manhattan,k = 170,2
neighbours,Manhattan,k = 180,2
neighbours,Manhattan,k = 190,2
boxes,Manhattan,threshold = 1.693786382675171,10
boxes,Manhattan,threshold = 3.387572765350342,2
boxes,Manhattan,threshold = 5.081359148025513,1
neighbours,Minkowski with p = 3,k = 10,41
neighbours,Minkowski with p = 3,k = 20,26
neighbours,Minkowski with p = 3,k = 30,17
neighbours,Minkowski with p = 3,k = 40,12
neighbours,Minkowski with p = 3,k = 50,11
neighbours,Minkowski with p = 3,k = 60,8
neighbours,Minkowski with p = 3,k = 70,8
neighbours,Minkowski with p = 3,k = 80,6
neighbours,Minkowski with p = 3,k = 90,4
neighbours,Minkowski with p = 3,k = 100,3
neighbours,Minkowski with p = 3,k = 110,3
neighbours,Minkowski with p = 3,k = 120,2
neighbours,Minkowski with p = 3,k = 130,2
neighbours,Minkowski with p = 3,k = 140,2
neighbours,Minkowski with p = 3,k = 150,2
neighbours,Minkowski with p = 3,k = 160,2
neighbours,Minkowski with p = 3,k = 170,2
neighbours,Minkowski with p = 3,k = 180,2
neighbours,Minkowski with p = 3,k = 190,2
boxes,Minkowski with p = 3,threshold = 1.848597526550293,3
boxes,Minkowski with p = 3,threshold = 3.697195053100586,1
boxes,Minkowski with p = 3,threshold = 5.545792579650879,2
neighbours,Mahalanobis,k = 10,55
neighbours,Mahalanobis,k = 20,29
neighbours,Mahalanobis,k = 30,24
neighbours,Mahalanobis,k = 40,18
neighbours,Mahalanobis,k = 50,16
neighbours,Mahalanobis,k = 60,14
neighbours,Mahalanobis,k = 70,12
neighbours,Mahalanobis,k = 80,11
neighbours,Mahalanobis,k = 90,10
neighbours,Mahalanobis,k = 100,10
neighbours,Mahalanobis,k = 110,9
neighbours,Mahalanobis,k = 120,6
neighbours,Mahalanobis,k = 130,7
neighbours,Mahalanobis,k = 140,5
neighbours,Mahalanobis,k = 150,6
neighbours,Mahalanobis,k = 160,4
neighbours,Mahalanobis,k = 170,5
neighbours,Mahalanobis,k = 180,4
neighbours,Mahalanobis,k = 190,4
boxes,Mahalanobis,threshold = 1.9272990459883077,61
boxes,Mahalanobis,threshold = 3.8545980919766154,8
boxes,Mahalanobis,threshold = 5.781897137964923,1
neighbours,Cosine,k = 10,39
neighbours,Cosine,k = 20,21
neighbours,Cosine,k = 30,15
neighbours,Cosine,k = 40,13
neighbours,Cosine,k = 50,9
neighbours,Cosine,k = 60,9
neighbours,Cosine,k = 70,7
neighbours,Cosine,k = 80,6
neighbours,Cosine,k = 90,4
neighbours,Cosine,k = 100,3
neighbours,Cosine,k = 110,3
neighbours,Cosine,k = 120,2
neighbours,Cosine,k = 130,2
neighbours,Cosine,k = 140,2
neighbours,Cosine,k = 150,2
neighbours,Cosine,k = 160,2
neighbours,Cosine,k = 170,2
neighbours,Cosine,k = 180,2
neighbours,Cosine,k = 190,2
boxes,Cosine,threshold = 0.24065150320529938,4
boxes,Cosine,threshold = 0.48130324482917786,2
boxes,Cosine,threshold = 0.7219549864530563,1
