,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
604,mountain,"sigma = 0.1,tol = 0.5,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
605,mountain,"sigma = 0.1,tol = 0.6,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
607,mountain,"sigma = 0.1,tol = 0.8,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
602,mountain,"sigma = 0.1,tol = 0.3,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
601,mountain,"sigma = 0.1,tol = 0.2,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
603,mountain,"sigma = 0.1,tol = 0.4,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
609,mountain,"sigma = 0.1,tol = 1,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
608,mountain,"sigma = 0.1,tol = 0.9,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
600,mountain,"sigma = 0.1,tol = 0.1,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
606,mountain,"sigma = 0.1,tol = 0.7,grid p = 11",Mahalanobis,150.68095376834424,1661.0325550033447,-0.2731023181300147,35.33051170375622,15.954572885625552,0.20825104915221285,2,0.4806475252097588
500,subtractive,"ra = 0.1,tol = 0.1",Minkowski,3583.93334813479,0.013243035174122939,6.099108897645775,19.17859636776611,0.5435985654990368,0.6635637601922275,23,0.4369448231675865
957,subtractive,"ra = 0.6,tol = 0.8",Cosine,3120.155951079792,0.5705653352341127,2.7573712331802644,19.377867098676088,0.1284664371118821,0.8798269382459364,2,0.4162395813852983
958,subtractive,"ra = 0.6,tol = 0.9",Cosine,3120.155951079792,0.5705653352341127,2.7573712331802644,19.377867098676088,0.1284664371118821,0.8798269382459364,2,0.4162395813852983
959,subtractive,"ra = 0.6,tol = 1",Cosine,3120.155951079792,0.5705653352341127,2.7573712331802644,19.377867098676088,0.1284664371118821,0.8798269382459364,2,0.4162395813852983
501,subtractive,"ra = 0.1,tol = 0.2",Minkowski,2687.356514550669,0.03792917353731589,5.389427724569215,20.194377485322434,0.5934839544460254,0.6767625613815289,16,0.39710458994586567
642,mountain,"sigma = 0.5,tol = 0.3,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
655,mountain,"sigma = 0.6,tol = 0.6,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
656,mountain,"sigma = 0.6,tol = 0.7,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
650,mountain,"sigma = 0.6,tol = 0.1,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
643,mountain,"sigma = 0.5,tol = 0.4,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
653,mountain,"sigma = 0.6,tol = 0.4,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
651,mountain,"sigma = 0.6,tol = 0.2,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
644,mountain,"sigma = 0.5,tol = 0.5,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
632,mountain,"sigma = 0.4,tol = 0.3,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
654,mountain,"sigma = 0.6,tol = 0.5,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
645,mountain,"sigma = 0.5,tol = 0.6,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
641,mountain,"sigma = 0.5,tol = 0.2,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
646,mountain,"sigma = 0.5,tol = 0.7,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
620,mountain,"sigma = 0.3,tol = 0.1,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
631,mountain,"sigma = 0.4,tol = 0.2,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
652,mountain,"sigma = 0.6,tol = 0.3,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
647,mountain,"sigma = 0.5,tol = 0.8,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
640,mountain,"sigma = 0.5,tol = 0.1,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
633,mountain,"sigma = 0.4,tol = 0.4,grid p = 11",Mahalanobis,83.35835273607391,953.5173961738424,-0.16690773121187746,35.43683294879517,10.61627138955881,0.27108331639709726,3,0.39362023974687355
626,mountain,"sigma = 0.3,tol = 0.7,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
629,mountain,"sigma = 0.3,tol = 1,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
634,mountain,"sigma = 0.4,tol = 0.5,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
618,mountain,"sigma = 0.2,tol = 0.9,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
612,mountain,"sigma = 0.2,tol = 0.3,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
615,mountain,"sigma = 0.2,tol = 0.6,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
622,mountain,"sigma = 0.3,tol = 0.3,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
636,mountain,"sigma = 0.4,tol = 0.7,grid p = 11",Mahalanobis,166.7331124423842,1431.5511348333423,-0.17187262573577233,35.03314997574252,3.569217541166103,0.17613638238908036,2,0.38869741880122616
