,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
508,subtractive,"ra = 0.1,tol = 0.9",Minkowski,0.12819656964496787,3561240.0578635037,-6.644247040871172,27.186331502907986,9.939079968321083,0.36118837555988115,3,0.5003804791968952
549,subtractive,"ra = 0.5,tol = 1",Minkowski,0.26672130920059817,5464904.702087963,-6.609817982165696,26.803639155235444,3.232681035656912,0.266390245578613,2,0.42863222071686446
539,subtractive,"ra = 0.4,tol = 1",Minkowski,0.26672130920059817,5464904.702087963,-6.609817982165696,26.803639155235444,3.232681035656912,0.266390245578613,2,0.42863222071686446
529,subtractive,"ra = 0.3,tol = 1",Minkowski,0.26672130920059817,5464904.702087963,-6.609817982165696,26.803639155235444,3.232681035656912,0.266390245578613,2,0.42863222071686446
528,subtractive,"ra = 0.3,tol = 0.9",Minkowski,0.26672130920059817,5464904.702087963,-6.609817982165696,26.803639155235444,3.232681035656912,0.266390245578613,2,0.42863222071686446
518,subtractive,"ra = 0.2,tol = 0.9",Minkowski,0.2683453861189323,5464993.326142315,-6.603747404721554,26.803655372048105,3.133498573920084,0.266390245578613,2,0.4270449569055394
519,subtractive,"ra = 0.2,tol = 1",Minkowski,0.2683453861189323,5464993.326142315,-6.603747404721554,26.803655372048105,3.133498573920084,0.266390245578613,2,0.4270449569055394
509,subtractive,"ra = 0.1,tol = 1",Minkowski,0.26999843634208476,5343830.582335386,-6.5976061420206795,26.781235204944803,3.0338087955577873,0.266390245578613,2,0.4215668540448761
137,subtractive,"ra = 0.4,tol = 0.8",Euclidean,226.23954310511513,1504.311548252843,1.5348891657481467,20.43845400690696,6.681709257602469,0.4557819100612881,5,0.35429225335743997
719,subtractive,"ra = 0.2,tol = 1",Mahalanobis,99.60405836080847,365.3177079654745,-0.68706412033964,17.1905493214137,10.13534103571383,0.2616132641290974,2,0.33523631567947354
100,subtractive,"ra = 0.1,tol = 0.1",Euclidean,371544.76945260406,1.3708686853469738e-06,18.113691676540377,6.990031259814655,0.0,0.008973601735653751,199,0.3333333333333333
559,subtractive,"ra = 0.6,tol = 1",Minkowski,22.219114743496792,98152.32930735324,-2.187314087803403,22.78405784519673,0.11363856836744336,0.9409576749398104,2,0.32838761872431044
569,subtractive,"ra = 0.7,tol = 1",Minkowski,22.219114743496792,98152.32930735324,-2.187314087803403,22.78405784519673,0.11363856836744336,0.9409576749398104,2,0.32838761872431044
589,subtractive,"ra = 0.9,tol = 1",Minkowski,22.219114743496792,98152.32930735324,-2.187314087803403,22.78405784519673,0.11363856836744336,0.9409576749398104,2,0.32838761872431044
579,subtractive,"ra = 0.8,tol = 1",Minkowski,22.219114743496792,98152.32930735324,-2.187314087803403,22.78405784519673,0.11363856836744336,0.9409576749398104,2,0.32838761872431044
599,subtractive,"ra = 1,tol = 1",Minkowski,23.433912422498736,91812.28246592013,-2.134082808653697,22.71728327723978,0.10901612899340894,0.9409576749398104,2,0.3279260970991882
598,subtractive,"ra = 1,tol = 0.9",Minkowski,23.433912422498736,91812.28246592013,-2.134082808653697,22.71728327723978,0.10901612899340894,0.9409576749398104,2,0.3279260970991882
507,subtractive,"ra = 0.1,tol = 0.8",Minkowski,2.8690213031435614,165385.9906234388,-3.125531408305435,24.692113632781183,0.3055945813621189,0.8436450359383363,4,0.32597810491387275
928,subtractive,"ra = 0.3,tol = 0.9",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
927,subtractive,"ra = 0.3,tol = 0.8",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
922,subtractive,"ra = 0.3,tol = 0.3",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
925,subtractive,"ra = 0.3,tol = 0.6",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
926,subtractive,"ra = 0.3,tol = 0.7",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
921,subtractive,"ra = 0.3,tol = 0.2",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
920,subtractive,"ra = 0.3,tol = 0.1",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
924,subtractive,"ra = 0.3,tol = 0.5",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
923,subtractive,"ra = 0.3,tol = 0.4",Cosine,118744.84059952547,0.013832646584959937,7.094675725192027,7.819988343765699,0.03340505212528141,0.9609026262548462,3,0.31981963914524086
905,subtractive,"ra = 0.1,tol = 0.6",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
906,subtractive,"ra = 0.1,tol = 0.7",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
900,subtractive,"ra = 0.1,tol = 0.1",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
904,subtractive,"ra = 0.1,tol = 0.5",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
908,subtractive,"ra = 0.1,tol = 0.9",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
902,subtractive,"ra = 0.1,tol = 0.3",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
903,subtractive,"ra = 0.1,tol = 0.4",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
901,subtractive,"ra = 0.1,tol = 0.2",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
907,subtractive,"ra = 0.1,tol = 0.8",Cosine,110240.8914969654,0.013624960690310198,7.0203666249105225,7.804860306320509,0.031318909005487366,0.9609026262548462,3,0.3153455726620212
506,subtractive,"ra = 0.1,tol = 0.7",Minkowski,15.915841708151595,5465.021778185588,-0.7036157726157645,22.401431236278835,0.2754284371722509,0.8073183700143328,7,0.31165106978153995
