Algorithm,Distance,Parameters,Number of clusters
neighbours,Euclidean,k = 10,41
neighbours,Euclidean,k = 20,23
neighbours,Euclidean,k = 30,16
neighbours,Euclidean,k = 40,12
neighbours,Euclidean,k = 50,11
neighbours,Euclidean,k = 60,9
neighbours,Euclidean,k = 70,7
neighbours,Euclidean,k = 80,5
neighbours,Euclidean,k = 90,4
neighbours,Euclidean,k = 100,4
neighbours,Euclidean,k = 110,3
neighbours,Euclidean,k = 120,2
neighbours,Euclidean,k = 130,2
neighbours,Euclidean,k = 140,2
neighbours,Euclidean,k = 150,2
neighbours,Euclidean,k = 160,2
neighbours,Euclidean,k = 170,2
neighbours,Euclidean,k = 180,2
neighbours,Euclidean,k = 190,2
boxes,Euclidean,threshold = 0.48030714958660453,14
boxes,Euclidean,threshold = 0.9606142991732091,4
boxes,Euclidean,threshold = 1.4409214487598137,2
neighbours,Manhattan,k = 10,42
neighbours,Manhattan,k = 20,25
neighbours,Manhattan,k = 30,17
neighbours,Manhattan,k = 40,14
neighbours,Manhattan,k = 50,11
neighbours,Manhattan,k = 60,9
neighbours,Manhattan,k = 70,7
neighbours,Manhattan,k = 80,6
neighbours,Manhattan,k = 90,5
neighbours,Manhattan,k = 100,4
neighbours,Manhattan,k = 110,3
neighbours,Manhattan,k = 120,2
neighbours,Manhattan,k = 130,2
neighbours,Manhattan,k = 140,2
neighbours,Manhattan,k = 150,2
neighbours,Manhattan,k = 160,2
neighbours,Manhattan,k = 170,2
neighbours,Manhattan,k = 180,2
neighbours,Manhattan,k = 190,2
boxes,Manhattan,threshold = 1.0478388707311423,7
boxes,Manhattan,threshold = 2.0956777414622847,2
boxes,Manhattan,threshold = 3.143516612193427,2
neighbours,Minkowski with p = 3,k = 10,41
neighbours,Minkowski with p = 3,k = 20,23
neighbours,Minkowski with p = 3,k = 30,16
neighbours,Minkowski with p = 3,k = 40,12
neighbours,Minkowski with p = 3,k = 50,11
neighbours,Minkowski with p = 3,k = 60,9
neighbours,Minkowski with p = 3,k = 70,7
neighbours,Minkowski with p = 3,k = 80,5
neighbours,Minkowski with p = 3,k = 90,4
neighbours,Minkowski with p = 3,k = 100,4
neighbours,Minkowski with p = 3,k = 110,3
neighbours,Minkowski with p = 3,k = 120,2
neighbours,Minkowski with p = 3,k = 130,2
neighbours,Minkowski with p = 3,k = 140,2
neighbours,Minkowski with p = 3,k = 150,2
neighbours,Minkowski with p = 3,k = 160,2
neighbours,Minkowski with p = 3,k = 170,2
neighbours,Minkowski with p = 3,k = 180,2
neighbours,Minkowski with p = 3,k = 190,2
boxes,Minkowski with p = 3,threshold = 0.9227798317760355,4
boxes,Minkowski with p = 3,threshold = 1.845559663552071,2
boxes,Minkowski with p = 3,threshold = 2.7683394953281066,2
neighbours,Mahalanobis,k = 10,39
neighbours,Mahalanobis,k = 20,24
neighbours,Mahalanobis,k = 30,18
neighbours,Mahalanobis,k = 40,13
neighbours,Mahalanobis,k = 50,12
neighbours,Mahalanobis,k = 60,9
neighbours,Mahalanobis,k = 70,9
neighbours,Mahalanobis,k = 80,7
neighbours,Mahalanobis,k = 90,7
neighbours,Mahalanobis,k = 100,7
neighbours,Mahalanobis,k = 110,5
neighbours,Mahalanobis,k = 120,5
neighbours,Mahalanobis,k = 130,5
neighbours,Mahalanobis,k = 140,4
neighbours,Mahalanobis,k = 150,3
neighbours,Mahalanobis,k = 160,4
neighbours,Mahalanobis,k = 170,3
neighbours,Mahalanobis,k = 180,2
neighbours,Mahalanobis,k = 190,2
boxes,Mahalanobis,threshold = 1.4419846027557282,24
boxes,Mahalanobis,threshold = 2.8839692055114563,6
boxes,Mahalanobis,threshold = 4.325953808267185,2
neighbours,Cosine,k = 10,43
neighbours,Cosine,k = 20,22
neighbours,Cosine,k = 30,15
neighbours,Cosine,k = 40,12
neighbours,Cosine,k = 50,10
neighbours,Cosine,k = 60,10
neighbours,Cosine,k = 70,7
neighbours,Cosine,k = 80,6
neighbours,Cosine,k = 90,4
neighbours,Cosine,k = 100,3
neighbours,Cosine,k = 110,3
neighbours,Cosine,k = 120,2
neighbours,Cosine,k = 130,2
neighbours,Cosine,k = 140,2
neighbours,Cosine,k = 150,2
neighbours,Cosine,k = 160,2
neighbours,Cosine,k = 170,2
neighbours,Cosine,k = 180,2
neighbours,Cosine,k = 190,2
boxes,Cosine,threshold = 0.24840897225081932,4
boxes,Cosine,threshold = 0.4968179445016391,2
boxes,Cosine,threshold = 0.7452269167524588,2
