,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
9,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Minkowski,1986.2691541087238,0.48225237084041844,3.296727954938048,15.036586604453534,0.2763695540111761,0.7216440112669601,0.8568232662192393,0.7827876191453552,0.6430961409770243,3,0.6585388560821793
5,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Manhattan,376.4930507411756,7.86398003221433,1.633614183324057,19.223957436511494,0.5997060315028345,0.5375216141412502,0.8522595078299776,0.7783660183593483,0.6370630907891844,3,0.5787535150231486
1,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Euclidean,387.7924487969923,3.1250507430330536,1.6631848644996965,17.839693952197546,0.6391049011725248,0.5412458581238287,0.8568232662192393,0.7827876191453552,0.6430961409770243,3,0.5763834261708248
11,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Minkowski,804.581711781658,1.227664822844138,2.3930371234607213,16.43818894130968,0.10378024753775268,0.6983456207650147,0.8568232662192393,0.7833832560793709,0.6438904963276207,3,0.5707408422154499
12,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Mahalanobis,64.19920903024311,155.88180475868003,-0.8352213835452938,22.69050248809962,1.2141661426919812,0.3298594371376441,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5536107816879012
14,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Mahalanobis,29.718958046596835,212.80504571341146,-1.6054271135265523,23.157420103054942,1.00336950802854,0.17850472584972976,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5281681002931313
7,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Manhattan,183.75742245672444,16.54959177780601,0.9163311253806364,20.340060324244778,0.25963717846919704,0.4492989309245954,0.8522595078299776,0.7783660183593483,0.6370630907891844,3,0.5254860614984499
3,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Euclidean,177.48090615596834,6.945446433443673,0.8815776259582186,19.03764755407749,0.273064255471167,0.4596563856478215,0.8568232662192393,0.7833832560793709,0.6438904963276207,3,0.5187829767976606
16,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Cosine,543.8529581672784,0.7960853330683388,1.3014666390682574,14.774782055881934,0.09043219956352563,0.9481297842412462,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4294287594721165
8,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Minkowski,916.655811941816,2.6798620012637593,1.823519786640262,16.59550335238333,0.19335786425552556,0.7886508370517356,0.759821029082774,0.7439975703891228,0.5653441295546558,2,0.4128898430730059
18,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Cosine,366.9215633869078,1.1658068889700837,0.9079358277068861,15.346975584436057,0.040488476941154386,0.9442599619699953,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.41270996548218175
0,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Euclidean,333.6924274149598,9.039183728943328,0.8130074189426798,18.419208712970963,0.5366343025840529,0.6134652122084556,0.752662192393736,0.7318508271630793,0.5523886639676113,2,0.364273488499099
10,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Minkowski,588.576038142624,4.483381508048456,1.3804938512891958,17.367421744603906,0.10886219966132239,0.772310566215518,0.752662192393736,0.7318508271630793,0.5523886639676113,2,0.35816641536913896
13,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Mahalanobis,73.19489080092556,74.65501299329411,-0.004159785489068439,22.599834683491583,1.1414872685768984,0.35347574751238187,0.7763758389261745,0.6600462583179156,0.49258883248730967,3,0.35021686934650426
2,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Euclidean,224.63909206524454,14.505371309617818,0.41728280533281187,19.128633924654103,0.3132190916163877,0.5511852195095521,0.752662192393736,0.7318508271630793,0.5523886639676113,2,0.330932525555048
15,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Mahalanobis,33.300937253819896,130.19841670375845,-0.79169986386812,23.434107524767562,0.5287245528018486,0.22198653543268454,0.7762863534675615,0.6644893941108431,0.49748743718592964,3,0.3004036629212603
4,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Manhattan,403.0790043547628,22.96388022797956,1.001920309551662,19.81773923566,0.5904530583061871,0.5723122800130309,0.7260850111856824,0.685573042606441,0.5042914979757085,2,0.29728276176538393
6,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Manhattan,267.2601058727588,36.04802698826645,0.5910100897301521,20.494133599234626,0.3156771547069874,0.5229508023724473,0.7293064876957495,0.6912858353783117,0.5101214574898786,2,0.27480881838709775
17,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Cosine,281.5876017325201,0.5172333072220994,1.3431581891573443,15.141626318391905,0.2749391280577674,0.7881900198996654,0.7777181208053692,0.6803907189281556,0.5145593120969318,3,0.27442048959327514
19,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Cosine,158.438883143177,0.893991528204,0.76808351742637,15.962429700753773,0.3855344357860175,0.5913907591316897,0.7763758389261745,0.6611563410413122,0.49382215920599554,3,0.21348239852393314
