,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
77,mountain,"sigma = 0.8,tol = 0.8,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
71,mountain,"sigma = 0.8,tol = 0.2,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
75,mountain,"sigma = 0.8,tol = 0.6,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
72,mountain,"sigma = 0.8,tol = 0.3,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
78,mountain,"sigma = 0.8,tol = 0.9,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
70,mountain,"sigma = 0.8,tol = 0.1,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
76,mountain,"sigma = 0.8,tol = 0.7,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
74,mountain,"sigma = 0.8,tol = 0.5,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
79,mountain,"sigma = 0.8,tol = 1,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
73,mountain,"sigma = 0.8,tol = 0.4,grid p = 11",Euclidean,102.63060797006978,85.3939572419396,-0.3660760622219651,21.78776841068636,18.462465724829485,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5839166219531748
922,subtractive,"ra = 0.3,tol = 0.3",Cosine,13870.7330312223,0.020260569103738153,5.240250955817742,10.281900135147737,0.026776321897078178,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5746949170058375
923,subtractive,"ra = 0.3,tol = 0.4",Cosine,13870.7330312223,0.020260569103738153,5.240250955817742,10.281900135147737,0.026776321897078178,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5746949170058375
920,subtractive,"ra = 0.3,tol = 0.1",Cosine,13870.7330312223,0.020260569103738153,5.240250955817742,10.281900135147737,0.026776321897078178,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5746949170058375
921,subtractive,"ra = 0.3,tol = 0.2",Cosine,13870.7330312223,0.020260569103738153,5.240250955817742,10.281900135147737,0.026776321897078178,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5746949170058375
910,subtractive,"ra = 0.2,tol = 0.1",Cosine,12674.787215409966,0.021263944845896294,5.150084634360819,10.354404614767374,0.02616669902959962,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5648187418443427
913,subtractive,"ra = 0.2,tol = 0.4",Cosine,12674.787215409966,0.021263944845896294,5.150084634360819,10.354404614767374,0.02616669902959962,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5648187418443427
911,subtractive,"ra = 0.2,tol = 0.2",Cosine,12674.787215409966,0.021263944845896294,5.150084634360819,10.354404614767374,0.02616669902959962,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5648187418443427
912,subtractive,"ra = 0.2,tol = 0.3",Cosine,12674.787215409966,0.021263944845896294,5.150084634360819,10.354404614767374,0.02616669902959962,0.9808972969308809,0.7719015659955257,0.7642063320073146,0.5872064777327936,3,0.5648187418443427
55,mountain,"sigma = 0.6,tol = 0.6,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
52,mountain,"sigma = 0.6,tol = 0.3,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
51,mountain,"sigma = 0.6,tol = 0.2,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
56,mountain,"sigma = 0.6,tol = 0.7,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
59,mountain,"sigma = 0.6,tol = 1,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
57,mountain,"sigma = 0.6,tol = 0.8,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
53,mountain,"sigma = 0.6,tol = 0.4,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
50,mountain,"sigma = 0.6,tol = 0.1,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
58,mountain,"sigma = 0.6,tol = 0.9,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
54,mountain,"sigma = 0.6,tol = 0.5,grid p = 11",Euclidean,107.3461282815609,83.49601473392752,-0.32115381640029467,21.754053755157077,8.935766509517665,0.622028045475224,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5264918483297758
210,mountain,"sigma = 0.2,tol = 0.1,grid p = 11",Manhattan,80.71207241751394,196.43224065504364,-0.6063241134248939,23.03733171154041,5.43744842171669,0.5854288890256025,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5247747507097557
