,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
1,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Euclidean,359.84507420830835,2.3274054912617452,1.5883881831831113,22.25529756832269,0.7602770531295552,0.5347237827132516,0.8737360178970918,0.8112427991975698,0.6822787660436839,3,0.5684840866155281
5,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Manhattan,441.63497989582555,6.566043455702521,1.7931982973276315,24.329612194847734,0.6643469185997217,0.5572241483266788,0.8679194630872483,0.803190728907463,0.6709030100334448,3,0.5655852449494971
11,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Minkowski,1123.090015490967,0.536050732127727,2.7265537015770938,19.318736374352998,0.13619671640083555,0.6593148053963839,0.8679194630872483,0.8019514425087226,0.6692807528568228,3,0.5313541805380986
3,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Euclidean,159.27624691361444,5.22369715751493,0.7733546904369307,23.872200157978572,0.332852256964342,0.40203319748391636,0.8737360178970918,0.8093163014393349,0.6796821793416572,3,0.5163583360455196
12,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Mahalanobis,43.46153590981367,230.35436225046647,-1.2253359587914643,30.22863165320722,1.4923750476978184,0.24323382272415023,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5152089798470076
16,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Cosine,12032.980932915394,0.02413646133862641,4.398194296106632,11.901330669467713,0.05344058485012219,0.9449783297323364,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5144687220206318
7,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Manhattan,194.72356802845363,15.0125748797282,0.9742955467455902,25.983565670587616,0.285653042478908,0.44091035065519946,0.8622818791946308,0.7941076377623736,0.6583795782463929,3,0.5054974813229678
14,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Mahalanobis,11.133784501692258,295.61437781783127,-2.5872281391665544,30.72750565048317,1.7037260363451492,0.0775338612653904,0.7676957494407158,0.7572110708864551,0.5795951417004048,2,0.48867235897155187
18,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Cosine,6761.115443102021,0.04296896069206051,3.8217308880368788,13.054839459196376,0.0276241829353074,0.9438238077159716,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46174542471411417
8,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Minkowski,1350.439553177088,1.096841517600059,2.21097313961982,19.534263399707644,0.16021189727981233,0.8099586416712781,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4163795960495837
0,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Euclidean,354.36555591073983,6.0638953752690945,0.8731167503754539,22.954098785370164,0.48616706176447216,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.40686541642189755
10,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Minkowski,837.6697611367654,1.8749412792579807,1.7334116692590589,20.60654867823085,0.1010155960359905,0.7910511740128282,0.7719015659955257,0.7642063320073146,0.5872064777327936,2,0.39134010365534866
4,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Manhattan,462.82180556554897,18.855174433803292,1.1401298370520854,25.2229687598176,0.48100963656219103,0.6401345864727189,0.759821029082774,0.7439975703891228,0.5653441295546558,2,0.3811272245132859
17,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Cosine,8456.023078610635,0.011510761494888106,4.745348850586148,11.636843522109732,0.8230098205690396,0.6218829241983513,0.7770917225950783,0.6743929909312366,0.5081934846989141,3,0.3731812075050053
6,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Manhattan,291.522041718487,31.26572492479735,0.6779033439824828,26.23443889025402,0.2902985075100084,0.5802948809380556,0.759821029082774,0.7439975703891228,0.5653441295546558,2,0.3626749624740619
13,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Mahalanobis,43.80693707750713,124.47686695930118,-0.517493220612297,30.214029102318744,1.5149809957190306,0.27194978881443643,0.7804921700223714,0.6663947243071299,0.4996940648582501,3,0.3612918710870859
2,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Euclidean,227.53617545145272,10.101915990681524,0.4300969649590857,23.97484421163254,0.3143874508521992,0.5521855611200244,0.763668903803132,0.7504732564880243,0.5723076923076923,2,0.34707654970917645
15,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Mahalanobis,15.007983447399575,192.76159696263107,-1.5887031168740022,31.08869767306524,0.8577769650952005,0.11298420835726686,0.7806711409395973,0.6669389414970228,0.5003058103975535,3,0.31241332424348056
19,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Cosine,3611.4061511893206,0.02671348444597595,3.89456708483155,13.320615708882384,0.4493506852702189,0.4866477544748516,0.7906935123042506,0.682331635291177,0.5178313749742322,3,0.30438296352161187
9,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Minkowski,883.6502839151073,0.5743970025249643,2.48677597171511,19.4569203607353,0.5620661755279427,0.6717085777838738,0.7214317673378076,0.6640227694665429,0.48485851398312096,3,0.2413685045432142
