,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
19,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Minkowski,1164.4336895282736,3.8326335016289876,1.7717231137094942,38.09913093500828,0.21829559623354966,0.8239050505738537,2,0.5365866437124142
18,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,1164.4336895282736,3.8326335016289876,1.7717231137094942,38.09913093500828,0.21829559623354966,0.8239050505738537,2,0.5365866437124142
16,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Minkowski,1164.4336895282736,3.8326335016289876,1.7717231137094942,38.09913093500828,0.21829559623354966,0.8239050505738537,2,0.5365866437124142
22,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,1019.1910344912698,1.5435258147538882,2.336707939987419,36.74053385687681,0.551375755239404,0.6831430222496582,3,0.5167442186989758
11,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Manhattan,33.14455362784883,255.79667897069675,-1.7873886223463877,52.802038528176375,2.8056556092475233,0.14255641115476136,2,0.5107965088360634
36,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Cosine,1266.120013126179,0.060993626351037396,2.553655847131205,25.431840671041613,0.3611442461994603,0.7613871366836679,3,0.49449028597008987
20,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Minkowski,858.3410146123273,1.8391549442368362,2.1649449252745465,37.35386303155674,0.5385232155045203,0.6280705447853279,3,0.4787647600146124
8,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Manhattan,369.2606352553594,73.69896473322505,0.6232356926186529,48.446658988864094,0.5722088215768291,0.6451591355394036,2,0.4756368353445543
10,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,369.2606352553594,73.69896473322505,0.6232356926186529,48.446658988864094,0.5722088215768291,0.6451591355394036,2,0.4756368353445543
21,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Minkowski,797.2335075469416,1.9527007254284412,2.0910910708213772,37.56353824932471,0.5818252671738211,0.5828038917391839,3,0.4612479496614352
