Algorithm,Distance,Parameters,Number of clusters
neighbours,Euclidean,k = 10,35
neighbours,Euclidean,k = 20,18
neighbours,Euclidean,k = 30,12
neighbours,Euclidean,k = 40,9
neighbours,Euclidean,k = 50,9
neighbours,Euclidean,k = 60,7
neighbours,Euclidean,k = 70,7
neighbours,Euclidean,k = 80,6
neighbours,Euclidean,k = 90,4
neighbours,Euclidean,k = 100,3
neighbours,Euclidean,k = 110,3
neighbours,Euclidean,k = 120,2
neighbours,Euclidean,k = 130,2
neighbours,Euclidean,k = 140,2
neighbours,Euclidean,k = 150,2
neighbours,Euclidean,k = 160,2
neighbours,Euclidean,k = 170,2
neighbours,Euclidean,k = 180,2
neighbours,Euclidean,k = 190,2
boxes,Euclidean,threshold = 7.353640556335449,4
boxes,Euclidean,threshold = 14.707281112670898,2
boxes,Euclidean,threshold = 22.060921669006348,1
neighbours,Manhattan,k = 10,37
neighbours,Manhattan,k = 20,16
neighbours,Manhattan,k = 30,13
neighbours,Manhattan,k = 40,10
neighbours,Manhattan,k = 50,9
neighbours,Manhattan,k = 60,7
neighbours,Manhattan,k = 70,7
neighbours,Manhattan,k = 80,5
neighbours,Manhattan,k = 90,4
neighbours,Manhattan,k = 100,3
neighbours,Manhattan,k = 110,3
neighbours,Manhattan,k = 120,2
neighbours,Manhattan,k = 130,2
neighbours,Manhattan,k = 140,2
neighbours,Manhattan,k = 150,2
neighbours,Manhattan,k = 160,2
neighbours,Manhattan,k = 170,2
neighbours,Manhattan,k = 180,2
neighbours,Manhattan,k = 190,2
boxes,Manhattan,threshold = 9.72171688079834,3
boxes,Manhattan,threshold = 19.44343376159668,2
boxes,Manhattan,threshold = 29.16515064239502,2
neighbours,Minkowski with p = 3,k = 10,35
neighbours,Minkowski with p = 3,k = 20,18
neighbours,Minkowski with p = 3,k = 30,12
neighbours,Minkowski with p = 3,k = 40,9
neighbours,Minkowski with p = 3,k = 50,9
neighbours,Minkowski with p = 3,k = 60,7
neighbours,Minkowski with p = 3,k = 70,7
neighbours,Minkowski with p = 3,k = 80,6
neighbours,Minkowski with p = 3,k = 90,4
neighbours,Minkowski with p = 3,k = 100,3
neighbours,Minkowski with p = 3,k = 110,3
neighbours,Minkowski with p = 3,k = 120,2
neighbours,Minkowski with p = 3,k = 130,2
neighbours,Minkowski with p = 3,k = 140,2
neighbours,Minkowski with p = 3,k = 150,2
neighbours,Minkowski with p = 3,k = 160,2
neighbours,Minkowski with p = 3,k = 170,2
neighbours,Minkowski with p = 3,k = 180,2
neighbours,Minkowski with p = 3,k = 190,2
boxes,Minkowski with p = 3,threshold = 216.30410766601562,2
boxes,Minkowski with p = 3,threshold = 432.60821533203125,2
boxes,Minkowski with p = 3,threshold = 648.9123229980469,2
neighbours,Mahalanobis,k = 10,36
neighbours,Mahalanobis,k = 20,18
neighbours,Mahalanobis,k = 30,12
neighbours,Mahalanobis,k = 40,10
neighbours,Mahalanobis,k = 50,6
neighbours,Mahalanobis,k = 60,5
neighbours,Mahalanobis,k = 70,5
neighbours,Mahalanobis,k = 80,4
neighbours,Mahalanobis,k = 90,4
neighbours,Mahalanobis,k = 100,4
neighbours,Mahalanobis,k = 110,3
neighbours,Mahalanobis,k = 120,3
neighbours,Mahalanobis,k = 130,3
neighbours,Mahalanobis,k = 140,3
neighbours,Mahalanobis,k = 150,3
neighbours,Mahalanobis,k = 160,2
neighbours,Mahalanobis,k = 170,2
neighbours,Mahalanobis,k = 180,2
neighbours,Mahalanobis,k = 190,2
boxes,Mahalanobis,threshold = 1.0248889491162434,5
boxes,Mahalanobis,threshold = 2.049777898232487,3
boxes,Mahalanobis,threshold = 3.0746668473487304,1
neighbours,Cosine,k = 10,34
neighbours,Cosine,k = 20,19
neighbours,Cosine,k = 30,12
neighbours,Cosine,k = 40,9
neighbours,Cosine,k = 50,8
neighbours,Cosine,k = 60,6
neighbours,Cosine,k = 70,5
neighbours,Cosine,k = 80,5
neighbours,Cosine,k = 90,4
neighbours,Cosine,k = 100,3
neighbours,Cosine,k = 110,3
neighbours,Cosine,k = 120,2
neighbours,Cosine,k = 130,2
neighbours,Cosine,k = 140,2
neighbours,Cosine,k = 150,2
neighbours,Cosine,k = 160,2
neighbours,Cosine,k = 170,2
neighbours,Cosine,k = 180,2
neighbours,Cosine,k = 190,2
boxes,Cosine,threshold = 0.4652974307537079,2
boxes,Cosine,threshold = 0.9305949807167053,2
boxes,Cosine,threshold = 1.3958925306797028,2
