,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
19,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Cosine,37176.34227093632,0.040198143376688256,5.933371329315863,8.886777660789145,0.014529495642900368,0.9584058228527016,3,0.5
10,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Minkowski,25.17288134383224,61081.795830592506,-2.0624997527780042,22.309751073843092,0.03307312953954518,0.9394743201163749,2,0.49500095515315806
11,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Minkowski,9.775432974528954,54395.12940113817,-2.310184149218109,23.004742025640745,0.07716476318205283,0.8051956457253877,3,0.4515068574578745
8,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Minkowski,50.333774632294485,30568.049996531186,-1.3695907150571256,21.617492538365397,0.060744380287605156,0.9409576749398104,2,0.422869233694588
1,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Euclidean,951.2618088563797,627.7033000028573,2.267732774961671,18.54277973247508,0.530806423095646,0.6815991381475641,3,0.39413882005825984
9,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Minkowski,28.839047694802453,18207.644938823665,-1.2283262565976538,21.910308966323985,0.18882978863950264,0.839968285390018,3,0.39041606950666946
0,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Euclidean,1544.7479406069594,1140.068215298419,2.0543490000894646,18.328625291235408,0.30638626426476007,0.7957755427312369,2,0.3831916870286564
2,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Euclidean,800.5304830577469,2173.0060772810557,1.3970075810393783,18.973648690632444,0.17771311263194356,0.7692719429583083,2,0.34766423774450206
5,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Manhattan,71.87177424448781,1139.2996068301104,-0.31517293014436076,19.13888110247859,0.5125523171298753,0.6826698654412104,3,0.34354126310226557
3,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Euclidean,652.713061845892,993.45212890849,1.8910810692835616,19.001898006413928,0.1544925440945637,0.7168240341573362,3,0.33603512495898386
12,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Mahalanobis,170.73815405422104,106.85632424816012,-0.14813591061382567,15.96126708176659,0.9792884832935562,0.4817936165174985,2,0.3338172262375521
4,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Manhattan,122.16387234572024,2021.0346730059955,-0.48290367132028417,18.901146787273674,0.29612953874223136,0.7965706941529092,2,0.3331184864556946
13,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Mahalanobis,234.20699398701288,39.27679238111512,0.8661487658488666,15.771345949665648,0.7102503024315391,0.5662420081288565,3,0.3283410764420393
16,kmeans,"k = 2,MAX_I = 100,tol = 0.001",Cosine,4775.159015449304,0.7054549830371073,3.182915523330583,10.940869595337142,0.07628135365564326,0.9169767669623897,2,0.32290830166236084
17,kmeans,"k = 3,MAX_I = 100,tol = 0.001",Cosine,2426.714020235963,0.46662968266494903,3.2042368179876877,11.338492823252638,0.09807907254519214,0.8606377494483946,3,0.3061653830747151
6,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Manhattan,63.675344227566484,3847.5221111868077,-1.1344696038355155,19.544966526249695,0.1728937875658401,0.7704255920554196,2,0.30396932063577103
18,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Cosine,2367.203535369417,1.3974024275511285,2.4811975638718535,11.624397017982027,0.045998334037610396,0.9119317085939671,2,0.299410309854179
7,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Manhattan,51.92716795542964,1605.9750344047231,-0.6402144276181201,19.48219847905569,0.1422728033133919,0.7364679773389677,3,0.29265977038527685
14,fuzzycmeans,"k = 2,m = 2,MAX_I = 100,tol = 0.001",Mahalanobis,85.4184928704742,166.44865785815907,-0.8407044091915598,16.404468814311166,0.6573385803033132,0.33663983643990475,2,0.23029976193878285
15,fuzzycmeans,"k = 3,m = 2,MAX_I = 100,tol = 0.001",Mahalanobis,111.34211473240829,84.37896610105449,0.12255102786208127,16.53603028360244,0.30983782745115324,0.3682654284177353,3,0.1996650798284039
