,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
19,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Minkowski,1570.550654173391,4.931193742275193,2.0709145412969137,28.88295992645565,0.18920884196821552,0.8439008119483633,2,0.5357875387808886
34,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Cosine,1745.9672137968857,0.3665982794914143,2.1767969276345966,22.38528559177227,0.1587644164362394,0.8572940185241477,2,0.4894372099212056
32,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Cosine,1745.9672137968857,0.3665982794914143,2.1767969276345966,22.38528559177227,0.1587644164362394,0.8572940185241477,2,0.4894372099212056
35,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Cosine,1745.9672137968857,0.3665982794914143,2.1767969276345966,22.38528559177227,0.1587644164362394,0.8572940185241477,2,0.4894372099212056
33,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Cosine,1745.9672137968857,0.3665982794914143,2.1767969276345966,22.38528559177227,0.1587644164362394,0.8572940185241477,2,0.4894372099212056
10,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,35.59543489399307,218.91834894628036,-1.7160496343739462,38.365754244700234,3.7044604234074616,0.1837426499385954,2,0.4724373161582885
21,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Minkowski,1078.6635150597647,2.428278555075972,2.393421519566309,28.53109154389339,0.5745769858955441,0.6484571133693992,3,0.46273980199572406
8,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Manhattan,471.2979781536761,43.22921088999011,0.8672235132910365,34.31029829549911,0.5874612289311645,0.7038132851668566,2,0.4502841264936488
9,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Manhattan,471.2979781536761,43.22921088999011,0.8672235132910365,34.31029829549911,0.5874612289311645,0.7038132851668566,2,0.4502841264936488
22,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,960.9149833917094,2.708022366222343,2.2778293900647917,28.803681597818144,1.1354869221392274,0.5404919271307727,3,0.444707901177323
11,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Manhattan,43.36827611661275,226.82836650247722,-1.5185388219283964,38.45449127560198,2.6699157455197855,0.1506054693957549,2,0.44274979966001293
37,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Cosine,1293.2303041882446,0.17817040690219635,2.5748419308878834,22.00059795073678,0.47233678572885357,0.6771912995504218,3,0.4253480469128008
20,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Minkowski,672.358846498294,3.8186920677101917,1.9207356475843549,29.662904995337417,0.7171225832753088,0.6099012276780371,3,0.41480755985125156
14,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,340.19095363140246,23.105715283189294,1.2394505401056548,34.16333506644936,0.9315915656659811,0.5520019531822715,3,0.4116573170333739
12,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Manhattan,331.13650081386777,23.48129792877971,1.2124741313557417,34.20364574071626,0.9811049865514484,0.5468566482931607,3,0.41102915032868165
15,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Manhattan,314.5096734074344,24.429948722885076,1.1609582855416885,34.30265952781083,1.0810491527659414,0.5265842623868945,3,0.4080307014598293
0,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Euclidean,524.2627364946559,18.636136206059383,0.9737259334889129,32.20676344033542,0.5782636334139324,0.6346497426496239,2,0.40336868725327196
1,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,524.2627364946559,18.636136206059383,0.9737259334889129,32.20676344033542,0.5782636334139324,0.6346497426496239,2,0.40336868725327196
3,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Euclidean,524.2627364946559,18.636136206059383,0.9737259334889129,32.20676344033542,0.5782636334139324,0.6346497426496239,2,0.40336868725327196
36,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Cosine,1153.3191642560007,0.1973078711081121,2.4603427458029845,22.25566013039768,0.6557347682782044,0.6055001307555259,3,0.3999836167768624
13,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Manhattan,298.3918186956073,25.057511224202216,1.1083509025357814,34.36606914162986,1.5882705974166775,0.4193785877219963,3,0.39850269907963093
2,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Euclidean,381.2030455243216,23.23915048079693,0.6550651303618913,32.75860312644728,0.6489138625894382,0.5886313101161535,2,0.3786119303106026
6,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Euclidean,353.6614850085792,9.87273089874171,1.278283650412373,32.037576316936466,0.9163141950785297,0.5265156916587896,3,0.3766036451133601
7,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Euclidean,320.51928289103387,10.653611531825417,1.1798858913994656,32.22788242609288,0.9025884240228345,0.4942524037911593,3,0.3642641654942635
5,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,310.10936191438225,10.925027863655535,1.1468684674577605,32.29077579056187,1.169146592583436,0.40750700452367666,3,0.3520076514095835
4,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Euclidean,252.4755174369492,12.71903150642717,0.9412577351906383,32.67088360094681,1.247249019046288,0.41825673611651615,3,0.34937376798577363
38,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Cosine,909.2146404635162,0.23741266494878344,2.2225246462482584,22.71824643782617,0.6276355683392937,0.5075372859346696,3,0.34854439317538993
18,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,150.57560941406572,34.56214845992072,-0.27380168452694525,33.750904953837974,0.5042665008718061,0.6280706842519038,2,0.3448465546824875
