,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
438,mountain,"sigma = 0.4,tol = 0.9,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
441,mountain,"sigma = 0.5,tol = 0.2,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
445,mountain,"sigma = 0.5,tol = 0.6,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
437,mountain,"sigma = 0.4,tol = 0.8,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
429,mountain,"sigma = 0.3,tol = 1,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
439,mountain,"sigma = 0.4,tol = 1,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
428,mountain,"sigma = 0.3,tol = 0.9,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
448,mountain,"sigma = 0.5,tol = 0.9,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
417,mountain,"sigma = 0.2,tol = 0.8,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
440,mountain,"sigma = 0.5,tol = 0.1,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
434,mountain,"sigma = 0.4,tol = 0.5,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
418,mountain,"sigma = 0.2,tol = 0.9,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
436,mountain,"sigma = 0.4,tol = 0.7,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
435,mountain,"sigma = 0.4,tol = 0.6,grid p = 11",Minkowski,1545.3132830444042,5.0118571354017725,2.0547149102788325,28.92352351391158,0.1907506841989724,0.8439008119483633,2,0.4829203264318401
