Algorithm,Distance,Parameters,Number of clusters
neighbours,Euclidean,k = 10,37
neighbours,Euclidean,k = 20,21
neighbours,Euclidean,k = 30,14
neighbours,Euclidean,k = 40,12
neighbours,Euclidean,k = 50,9
neighbours,Euclidean,k = 60,6
neighbours,Euclidean,k = 70,4
neighbours,Euclidean,k = 80,4
neighbours,Euclidean,k = 90,3
neighbours,Euclidean,k = 100,3
neighbours,Euclidean,k = 110,3
neighbours,Euclidean,k = 120,2
neighbours,Euclidean,k = 130,3
neighbours,Euclidean,k = 140,2
boxes,Euclidean,threshold = 0.3989718886178189,9
boxes,Euclidean,threshold = 0.7979437772356378,3
boxes,Euclidean,threshold = 1.1969156658534568,2
neighbours,Manhattan,k = 10,38
neighbours,Manhattan,k = 20,22
neighbours,Manhattan,k = 30,15
neighbours,Manhattan,k = 40,9
neighbours,Manhattan,k = 50,8
neighbours,Manhattan,k = 60,5
neighbours,Manhattan,k = 70,6
neighbours,Manhattan,k = 80,4
neighbours,Manhattan,k = 90,3
neighbours,Manhattan,k = 100,3
neighbours,Manhattan,k = 110,3
neighbours,Manhattan,k = 120,3
neighbours,Manhattan,k = 130,2
neighbours,Manhattan,k = 140,2
boxes,Manhattan,threshold = 0.8234270425666622,9
boxes,Manhattan,threshold = 1.6468540851333244,2
boxes,Manhattan,threshold = 2.4702811276999865,2
neighbours,Minkowski with p = 3,k = 10,37
neighbours,Minkowski with p = 3,k = 20,21
neighbours,Minkowski with p = 3,k = 30,14
neighbours,Minkowski with p = 3,k = 40,12
neighbours,Minkowski with p = 3,k = 50,9
neighbours,Minkowski with p = 3,k = 60,6
neighbours,Minkowski with p = 3,k = 70,4
neighbours,Minkowski with p = 3,k = 80,4
neighbours,Minkowski with p = 3,k = 90,3
neighbours,Minkowski with p = 3,k = 100,3
neighbours,Minkowski with p = 3,k = 110,3
neighbours,Minkowski with p = 3,k = 120,2
neighbours,Minkowski with p = 3,k = 130,3
neighbours,Minkowski with p = 3,k = 140,2
boxes,Minkowski with p = 3,threshold = 0.6367142716290772,3
boxes,Minkowski with p = 3,threshold = 1.2734285432581545,2
boxes,Minkowski with p = 3,threshold = 1.9101428148872317,1
neighbours,Mahalanobis,k = 10,41
neighbours,Mahalanobis,k = 20,28
neighbours,Mahalanobis,k = 30,18
neighbours,Mahalanobis,k = 40,16
neighbours,Mahalanobis,k = 50,11
neighbours,Mahalanobis,k = 60,12
neighbours,Mahalanobis,k = 70,10
neighbours,Mahalanobis,k = 80,8
neighbours,Mahalanobis,k = 90,8
neighbours,Mahalanobis,k = 100,5
neighbours,Mahalanobis,k = 110,6
neighbours,Mahalanobis,k = 120,5
neighbours,Mahalanobis,k = 130,3
neighbours,Mahalanobis,k = 140,3
boxes,Mahalanobis,threshold = 1.7654265843405927,35
boxes,Mahalanobis,threshold = 3.5308531686811855,7
boxes,Mahalanobis,threshold = 5.2962797530217784,1
neighbours,Cosine,k = 10,36
neighbours,Cosine,k = 20,22
neighbours,Cosine,k = 30,14
neighbours,Cosine,k = 40,9
neighbours,Cosine,k = 50,9
neighbours,Cosine,k = 60,5
neighbours,Cosine,k = 70,4
neighbours,Cosine,k = 80,4
neighbours,Cosine,k = 90,3
neighbours,Cosine,k = 100,2
neighbours,Cosine,k = 110,2
neighbours,Cosine,k = 120,2
neighbours,Cosine,k = 130,2
neighbours,Cosine,k = 140,2
boxes,Cosine,threshold = 0.16378770588502545,3
boxes,Cosine,threshold = 0.32757541177005134,3
boxes,Cosine,threshold = 0.49136311765507723,1
