,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
23,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Minkowski,1066.95725423448,0.46999821583087137,2.6752807826445597,22.987158748759995,0.49143842011589145,0.6193229990257821,0.8679194630872483,0.7991836734693878,0.6655336505778382,3,0.6571257682455606
5,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,176.6006747880552,3.871947192676671,0.8766057029406837,28.259118527400258,1.1886931878587936,0.37095728217318163,0.905503355704698,0.8570369877259623,0.749822316986496,3,0.6354441817280398
21,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Minkowski,846.8729723578572,0.5726796807721142,2.4442653035826236,23.48115284993892,0.5218419455168836,0.554200157221158,0.8568232662192393,0.7922101787209175,0.654949320681475,3,0.6160900365415536
11,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Manhattan,288.88345746972897,28.58989118754118,0.6688110716661739,31.83822982226782,0.612731973154238,0.5868398471540256,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.6011976936677871
10,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,232.92379922727284,35.38805234275793,0.45349908436867153,32.37153246818189,0.7975423993618469,0.4937393281061165,0.7354809843400447,0.7021538099363611,0.5212955465587045,2,0.5617074225536953
22,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,671.2963622500297,0.691604403545794,2.211925305748071,23.952871804716075,0.635073886551623,0.48684383805077003,0.8157494407158836,0.7481939097263621,0.5938054843164332,3,0.556179721885838
14,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,256.2073032092453,12.006875090460767,1.248701488728445,31.08842322457104,0.7884738364716153,0.4586544539481128,0.8157494407158836,0.7202070884136554,0.5627521766829475,3,0.5543953957260546
8,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Manhattan,172.24871157858712,43.28897531364125,0.15172715615153054,32.8753417985938,0.9936151908100738,0.3753290288905953,0.7032662192393736,0.656729609957501,0.4732327243844321,2,0.5345315677051669
0,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Euclidean,252.7384430809824,7.298757219994058,0.5351428583867367,28.424857045917808,0.6057788625112439,0.5821680319081992,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.522716904106113
3,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Euclidean,252.7384430809824,7.298757219994058,0.5351428583867367,28.424857045917808,0.6057788625112439,0.5821680319081992,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.522716904106113
