Algorithm,Distance,Parameters,Number of clusters
neighbours,Euclidean,k = 10,33
neighbours,Euclidean,k = 20,18
neighbours,Euclidean,k = 30,12
neighbours,Euclidean,k = 40,10
neighbours,Euclidean,k = 50,8
neighbours,Euclidean,k = 60,6
neighbours,Euclidean,k = 70,5
neighbours,Euclidean,k = 80,4
neighbours,Euclidean,k = 90,4
neighbours,Euclidean,k = 100,3
neighbours,Euclidean,k = 110,3
neighbours,Euclidean,k = 120,3
neighbours,Euclidean,k = 130,2
neighbours,Euclidean,k = 140,2
boxes,Euclidean,threshold = 0.30162984711190044,6
boxes,Euclidean,threshold = 0.6032596942238009,3
boxes,Euclidean,threshold = 0.9048895413357013,1
neighbours,Manhattan,k = 10,31
neighbours,Manhattan,k = 20,17
neighbours,Manhattan,k = 30,13
neighbours,Manhattan,k = 40,10
neighbours,Manhattan,k = 50,7
neighbours,Manhattan,k = 60,7
neighbours,Manhattan,k = 70,5
neighbours,Manhattan,k = 80,4
neighbours,Manhattan,k = 90,3
neighbours,Manhattan,k = 100,3
neighbours,Manhattan,k = 110,3
neighbours,Manhattan,k = 120,3
neighbours,Manhattan,k = 130,2
neighbours,Manhattan,k = 140,3
boxes,Manhattan,threshold = 0.42613539528146704,6
boxes,Manhattan,threshold = 0.8522707905629341,3
boxes,Manhattan,threshold = 1.2784061858444011,2
neighbours,Minkowski with p = 3,k = 10,33
neighbours,Minkowski with p = 3,k = 20,18
neighbours,Minkowski with p = 3,k = 30,12
neighbours,Minkowski with p = 3,k = 40,10
neighbours,Minkowski with p = 3,k = 50,8
neighbours,Minkowski with p = 3,k = 60,6
neighbours,Minkowski with p = 3,k = 70,5
neighbours,Minkowski with p = 3,k = 80,4
neighbours,Minkowski with p = 3,k = 90,4
neighbours,Minkowski with p = 3,k = 100,3
neighbours,Minkowski with p = 3,k = 110,3
neighbours,Minkowski with p = 3,k = 120,3
neighbours,Minkowski with p = 3,k = 130,2
neighbours,Minkowski with p = 3,k = 140,2
boxes,Minkowski with p = 3,threshold = 0.3639222586749938,3
boxes,Minkowski with p = 3,threshold = 0.7278445173499876,1
boxes,Minkowski with p = 3,threshold = 1.0917667760249814,1
neighbours,Mahalanobis,k = 10,31
neighbours,Mahalanobis,k = 20,18
neighbours,Mahalanobis,k = 30,11
neighbours,Mahalanobis,k = 40,11
neighbours,Mahalanobis,k = 50,8
neighbours,Mahalanobis,k = 60,7
neighbours,Mahalanobis,k = 70,6
neighbours,Mahalanobis,k = 80,6
neighbours,Mahalanobis,k = 90,4
neighbours,Mahalanobis,k = 100,4
neighbours,Mahalanobis,k = 110,3
neighbours,Mahalanobis,k = 120,3
neighbours,Mahalanobis,k = 130,3
neighbours,Mahalanobis,k = 140,3
boxes,Mahalanobis,threshold = 1.4437407151022998,6
boxes,Mahalanobis,threshold = 2.8874814302045997,3
boxes,Mahalanobis,threshold = 4.331222145306899,2
neighbours,Cosine,k = 10,29
neighbours,Cosine,k = 20,17
neighbours,Cosine,k = 30,11
neighbours,Cosine,k = 40,9
neighbours,Cosine,k = 50,6
neighbours,Cosine,k = 60,5
neighbours,Cosine,k = 70,5
neighbours,Cosine,k = 80,4
neighbours,Cosine,k = 90,4
neighbours,Cosine,k = 100,3
neighbours,Cosine,k = 110,2
neighbours,Cosine,k = 120,2
neighbours,Cosine,k = 130,2
neighbours,Cosine,k = 140,2
boxes,Cosine,threshold = 0.24999999999999983,2
boxes,Cosine,threshold = 0.4999999999999999,2
boxes,Cosine,threshold = 0.75,1
