,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
6,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Euclidean,756.1453587020644,138.55867298981764,2.330948224894007,16.45664185258504,0.5633992864462684,0.615408194192055,0.9267114093959732,0.8885865950809203,0.7995104039167686,3,0.631440597432554
22,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,170.90729810820991,574.0125637876652,0.8438358869594262,17.877999269180634,0.19432714433919382,0.7958925064917954,0.9495302013422818,0.9233071803662838,0.8575397827734277,3,0.6210957142856888
5,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,717.0687927678296,145.40740920401927,2.2778863750612617,16.504887506156575,0.5636462587838089,0.6024772959797117,0.8859060402684564,0.8276975668026865,0.7060179847821074,3,0.580084946502697
23,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Minkowski,141.7364781596575,687.5281118606414,0.6566841396672195,18.058450703652657,0.21062955442520748,0.769164381819963,0.8922595078299776,0.8369988401456396,0.719674039580908,3,0.5479019360712984
30,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Mahalanobis,253.1018092910705,22.35443831694586,1.2365064098293386,14.63237286872717,0.5639928496328909,0.580548124025538,0.8922595078299776,0.8369988401456396,0.719674039580908,3,0.5269531923852033
3,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Euclidean,627.3252286493534,447.8245753646397,1.444252838367191,16.818819351635987,0.38315069762492543,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5108023812266471
1,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,627.3252286493534,447.8245753646397,1.444252838367191,16.818819351635987,0.38315069762492543,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5108023812266471
2,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Euclidean,627.3252286493534,447.8245753646397,1.444252838367191,16.818819351635987,0.38315069762492543,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5108023812266471
28,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Mahalanobis,254.7563818043917,22.241761027972412,1.243022316814198,14.627319634128794,0.565620651307403,0.6122269849383253,0.8679194630872483,0.8046711634575713,0.6727998226557305,3,0.5081574224850249
39,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Cosine,1862.8484262766844,0.005309869197559232,3.2325766010496406,6.287159907709077,0.22155962220383266,0.660182375714631,0.7687695749440716,0.6793395288929713,0.5118080483657661,3,0.46460977308988305
21,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Minkowski,33.730069338637115,2766.245536927558,-0.7788957014510179,19.450594262931048,1.660882559682604,0.2566973103762408,0.7820134228187919,0.7329414641906993,0.5661620658949243,3,0.45456639569588897
9,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Manhattan,82.0239632915268,695.7965556781978,-0.5902008339297471,17.259475081297364,0.43278260216993786,0.7151417055280316,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4537150423934706
