,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
526,subtractive,"ra = 0.3,tol = 0.7",Minkowski,29.199252726884293,4383.586915863944,-0.9231422888170825,19.91097058376115,0.23735972763809177,0.7958925064917954,0.9495302013422818,0.9233071803662838,0.8575397827734277,3,0.5412230650529198
527,subtractive,"ra = 0.3,tol = 0.8",Minkowski,29.199252726884293,4383.586915863944,-0.9231422888170825,19.91097058376115,0.23735972763809177,0.7958925064917954,0.9495302013422818,0.9233071803662838,0.8575397827734277,3,0.5412230650529198
537,subtractive,"ra = 0.4,tol = 0.8",Minkowski,31.993298129201715,3944.342367242538,-0.831758958815761,19.80538550403397,0.2351823541828043,0.7958925064917954,0.9495302013422818,0.9233071803662838,0.8575397827734277,3,0.5410384730997175
167,subtractive,"ra = 0.7,tol = 0.8",Euclidean,450.5302771463468,327.22412369537255,1.8131398764432778,17.31599331465497,0.5833834033805451,0.6220697145018311,0.9495302013422818,0.9233071803662838,0.8575397827734277,3,0.5220581155063502
588,subtractive,"ra = 0.9,tol = 0.9",Minkowski,0.398920094426272,462913.51000054367,-5.216279552962506,24.57064349713267,29.99839323463009,0.4211045033482306,0.661834451901566,0.5422545962131184,0.36922049741278584,3,0.49424197512244017
598,subtractive,"ra = 1,tol = 0.9",Minkowski,0.398920094426272,462913.51000054367,-5.216279552962506,24.57064349713267,29.99839323463009,0.4211045033482306,0.661834451901566,0.5422545962131184,0.36922049741278584,3,0.49424197512244017
187,subtractive,"ra = 0.9,tol = 0.8",Euclidean,499.54975874546,143.85236003430444,2.328712877194955,17.069499625952247,0.6182402276558099,0.67176631835237,0.8993288590604027,0.8372075164392758,0.7158373326597626,4,0.4899703299967874
568,subtractive,"ra = 0.7,tol = 0.9",Minkowski,0.3846974968154053,466035.03599632595,-5.252583382312288,24.577364079791824,31.042695159913237,0.34130686387680004,0.654496644295302,0.5414393639567553,0.3675675675675676,3,0.4864752629381248
578,subtractive,"ra = 0.8,tol = 0.9",Minkowski,0.3846974968154053,466035.03599632595,-5.252583382312288,24.577364079791824,31.042695159913237,0.34130686387680004,0.654496644295302,0.5414393639567553,0.3675675675675676,3,0.4864752629381248
116,subtractive,"ra = 0.2,tol = 0.7",Euclidean,401.06934425405166,97.75554645886366,2.4036949593698513,17.129469171023665,0.5547998115117984,0.7044770732033466,0.883758389261745,0.8077400355737248,0.6690445859872611,5,0.4810444318024877
536,subtractive,"ra = 0.4,tol = 0.7",Minkowski,35.188915167315514,1073.9183865633945,-0.029708258310650222,19.52606851451774,0.22932274156152274,0.758821026599041,0.876062639821029,0.7942345193607434,0.6501641828744632,5,0.48013103222594467
197,subtractive,"ra = 1,tol = 0.8",Euclidean,396.6509596043147,107.45122215744968,2.392617317716593,17.224036229721435,0.596571168819671,0.7346219251722862,0.876062639821029,0.7942345193607434,0.6501641828744632,5,0.4796189245185993
559,subtractive,"ra = 0.6,tol = 1",Minkowski,0.662249899547363,820670.1937773403,-5.409324576277945,24.33229436366193,14.270009355115947,0.5110131550822808,0.5685906040268457,0.5681954359269502,0.37152913570590534,2,0.47767896355877454
569,subtractive,"ra = 0.7,tol = 1",Minkowski,0.662249899547363,820670.1937773403,-5.409324576277945,24.33229436366193,14.270009355115947,0.5110131550822808,0.5685906040268457,0.5681954359269502,0.37152913570590534,2,0.47767896355877454
579,subtractive,"ra = 0.8,tol = 1",Minkowski,0.662249899547363,820670.1937773403,-5.409324576277945,24.33229436366193,14.270009355115947,0.5110131550822808,0.5685906040268457,0.5681954359269502,0.37152913570590534,2,0.47767896355877454
558,subtractive,"ra = 0.6,tol = 0.9",Minkowski,0.662249899547363,820670.1937773403,-5.409324576277945,24.33229436366193,14.270009355115947,0.5110131550822808,0.5685906040268457,0.5681954359269502,0.37152913570590534,2,0.47767896355877454
146,subtractive,"ra = 0.5,tol = 0.7",Euclidean,436.0611947080518,141.35170529423968,2.1927882552949702,17.051963278277622,0.5364054024826695,0.6069065525446077,0.8944071588366891,0.828748611586714,0.7031446540880503,4,0.47673766473740176
386,subtractive,"ra = 0.9,tol = 0.7",Manhattan,53.64230929925758,143.19839472700093,0.39189872799924524,17.5112302769575,0.5373561625327453,0.7039164822296741,0.883489932885906,0.8072383869023011,0.6682802547770701,5,0.469742864728631
508,subtractive,"ra = 0.1,tol = 0.9",Minkowski,12.409017418086297,39341.4800755818,-2.4787888543070284,21.294452482651284,0.1514026747698712,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46711584391903327
509,subtractive,"ra = 0.1,tol = 1",Minkowski,12.409017418086297,39341.4800755818,-2.4787888543070284,21.294452482651284,0.1514026747698712,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46711584391903327
507,subtractive,"ra = 0.1,tol = 0.8",Minkowski,12.409017418086297,39341.4800755818,-2.4787888543070284,21.294452482651284,0.1514026747698712,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46711584391903327
517,subtractive,"ra = 0.2,tol = 0.8",Minkowski,13.731673654957772,34127.57368600037,-2.3775071637468903,21.152278717765792,0.14475223934927173,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46608940476855426
518,subtractive,"ra = 0.2,tol = 0.9",Minkowski,13.731673654957772,34127.57368600037,-2.3775071637468903,21.152278717765792,0.14475223934927173,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46608940476855426
528,subtractive,"ra = 0.3,tol = 0.9",Minkowski,13.731673654957772,34127.57368600037,-2.3775071637468903,21.152278717765792,0.14475223934927173,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46608940476855426
529,subtractive,"ra = 0.3,tol = 1",Minkowski,13.731673654957772,34127.57368600037,-2.3775071637468903,21.152278717765792,0.14475223934927173,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46608940476855426
519,subtractive,"ra = 0.2,tol = 1",Minkowski,13.731673654957772,34127.57368600037,-2.3775071637468903,21.152278717765792,0.14475223934927173,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46608940476855426
538,subtractive,"ra = 0.4,tol = 0.9",Minkowski,13.839107918759106,33468.706863068255,-2.369713782389075,21.132783926509873,0.14310061955656905,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46591734058047574
539,subtractive,"ra = 0.4,tol = 1",Minkowski,13.839107918759106,33468.706863068255,-2.369713782389075,21.132783926509873,0.14310061955656905,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46591734058047574
549,subtractive,"ra = 0.5,tol = 1",Minkowski,13.839107918759106,33468.706863068255,-2.369713782389075,21.132783926509873,0.14310061955656905,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46591734058047574
548,subtractive,"ra = 0.5,tol = 0.9",Minkowski,13.839107918759106,33468.706863068255,-2.369713782389075,21.132783926509873,0.14310061955656905,0.9000200224770772,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.46591734058047574
366,subtractive,"ra = 0.7,tol = 0.7",Manhattan,59.58068765545907,224.00429324792574,0.20233715589463655,17.512377347829098,0.5584302555429497,0.6025532762495056,0.8944071588366891,0.828748611586714,0.7031446540880503,4,0.46583290163619406
346,subtractive,"ra = 0.5,tol = 0.7",Manhattan,58.86515759301911,225.75703603473565,0.190255030680253,17.520171489057994,0.5607837941476794,0.6025532762495056,0.8944071588366891,0.828748611586714,0.7031446540880503,4,0.4658165445630357
356,subtractive,"ra = 0.6,tol = 0.7",Manhattan,58.86515759301911,225.75703603473565,0.190255030680253,17.520171489057994,0.5607837941476794,0.6025532762495056,0.8944071588366891,0.828748611586714,0.7031446540880503,4,0.4658165445630357
589,subtractive,"ra = 0.9,tol = 1",Minkowski,0.698385249846989,820981.6236360371,-5.356196668365152,24.332673774032788,18.261538023122327,0.2635358502824771,0.5915883668903803,0.5342903052443576,0.3516124449495667,2,0.4602048584635401
599,subtractive,"ra = 1,tol = 1",Minkowski,0.698385249846989,820981.6236360371,-5.356196668365152,24.332673774032788,18.261538023122327,0.2635358502824771,0.5915883668903803,0.5342903052443576,0.3516124449495667,2,0.4602048584635401
336,subtractive,"ra = 0.4,tol = 0.7",Manhattan,34.73090226798451,164.5073121445542,0.18725445877516753,18.01459736603297,1.0403928560658549,0.7107665940650385,0.8549440715883669,0.7577377120264682,0.6022085889570552,6,0.4533567246582027
159,subtractive,"ra = 0.6,tol = 1",Euclidean,437.2875465961107,1269.0657809845168,1.0833787063075924,17.86045407199059,0.46603091132911667,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4433957462316339
158,subtractive,"ra = 0.6,tol = 0.9",Euclidean,437.2875465961107,1269.0657809845168,1.0833787063075924,17.86045407199059,0.46603091132911667,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4433957462316339
149,subtractive,"ra = 0.5,tol = 1",Euclidean,431.3624324488714,1280.6510152971955,1.069736373526665,17.86954160207101,0.4732288655427218,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4433744092964947
138,subtractive,"ra = 0.4,tol = 0.9",Euclidean,431.3624324488714,1280.6510152971955,1.069736373526665,17.86954160207101,0.4732288655427218,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4433744092964947
139,subtractive,"ra = 0.4,tol = 1",Euclidean,431.3624324488714,1280.6510152971955,1.069736373526665,17.86954160207101,0.4732288655427218,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4433744092964947
129,subtractive,"ra = 0.3,tol = 1",Euclidean,431.3624324488714,1280.6510152971955,1.069736373526665,17.86954160207101,0.4732288655427218,0.7309623323102423,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4433744092964947
