,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters,punctuation
35,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Cosine,10382.25024291222,0.02772593402315528,4.250640645868715,12.178619880883534,0.05138723037540816,0.9423877129490982,0.7629530201342282,0.7580442710171548,0.5778486055776892,2,0.5901816001223393
21,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Minkowski,2673.332260301719,0.21643076293461302,3.593795604590182,17.504820151400057,0.3540433498834202,0.7003222469886491,0.8737360178970918,0.8158740379797479,0.6881767955801105,3,0.57652112762185
23,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Minkowski,2800.9328115983026,0.20779108690745085,3.6404223814627583,17.423345132376884,0.3807137255634793,0.6861207397477105,0.8568232662192393,0.7842212884728983,0.6449966718437985,3,0.5525002281125937
5,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,346.70278418888864,2.400197579058104,1.5511824769818765,22.31689143729549,0.7706852666062503,0.48043547317102925,0.8737360178970918,0.8101679004867175,0.6808414385885546,3,0.5288066199574246
17,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Minkowski,1350.4395531770886,1.096841517600059,2.2109731396198202,19.534263399707644,0.16021189727981225,0.8099586416712781,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5077641665558497
19,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Minkowski,1350.4395531770886,1.096841517600059,2.2109731396198202,19.534263399707644,0.16021189727981225,0.8099586416712781,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.5077641665558497
37,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Cosine,8021.622695037007,0.011950331148485387,4.692610605227598,11.711796740513092,1.1906507609946357,0.5229455251805696,0.789082774049217,0.6912475664875163,0.5276553106212425,3,0.5035500116006082
8,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Manhattan,455.05696245961616,19.128544805122914,1.12321032956988,25.25175741947511,0.4470060894941432,0.6468209522461297,0.7719015659955257,0.7642063320073146,0.5872064777327936,2,0.5034217015070881
14,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,377.00919212492795,7.725084964151704,1.634984163226215,24.6547349627876,0.6915131754260725,0.5508871431706308,0.8246979865771812,0.7472140903222462,0.5953315430696137,3,0.5029045936387229
36,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Cosine,6334.354814650559,0.015077915401184833,4.456457836780176,12.176740996242563,0.8932561653597579,0.5870379830787329,0.7731543624161074,0.7232747769318542,0.5540112596762843,3,0.5005894379311268
12,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Manhattan,356.76549336540535,8.218647571432006,1.5797932783903843,24.77860065316724,0.6976601409703465,0.5335229475688047,0.8170917225950783,0.7315254238354816,0.5761973875181422,3,0.4896383331237348
3,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Euclidean,354.3655559107397,6.063895375269097,0.8731167503754537,22.954098785370164,0.48616706176447194,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2,0.4833893705416513
18,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,1294.4872537213555,1.1399941589237461,2.1686576788910554,19.61144027310943,0.19444511988739305,0.7924170098051192,0.756152125279642,0.7377886001570466,0.5587044534412956,2,0.48155799968671814
0,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Euclidean,336.84061141494465,6.283079633720065,0.8223975815454906,23.02511449145403,0.5491706760840631,0.6021166269191047,0.752662192393736,0.7318508271630793,0.5523886639676113,2,0.4523963170895821
11,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Manhattan,380.34673616311136,22.460349159552422,0.9438710265016155,25.572896985882753,0.6287091368870436,0.5635105193762722,0.7293064876957495,0.6912858353783117,0.5101214574898786,2,0.44453595508295723
22,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Minkowski,860.0607079714407,0.585155012425901,2.4597175712018244,19.49403234345943,0.6796130437021946,0.6672130667597189,0.738255033557047,0.6904641819950736,0.5126624458513829,3,0.44017068394086317
13,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Manhattan,176.64988939326477,15.292062142124673,0.8768843414512382,26.020457079204565,1.0032160470199707,0.2743845825984872,0.7902460850111857,0.7083901311408264,0.5458244526254602,3,0.4376420448221807
10,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Manhattan,346.25726354872546,24.111898319132393,0.849969761275455,25.714804845528825,0.6883022544453494,0.5333630918327912,0.7217897091722595,0.6779097463133307,0.4965182186234818,2,0.4322968854054287
9,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Manhattan,234.7360067325397,31.4483733061101,0.4612492333144986,26.246088513090296,0.8218567835047168,0.41639103716691217,0.7289485458612975,0.6983886546024112,0.5157474020783374,2,0.4310672655328761
20,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Minkowski,731.2712754973351,0.6878402548314405,2.2974990866012432,19.817392008642493,0.3288019143884639,0.6816228463376753,0.7276062639821029,0.6882744249358634,0.5070445344129555,3,0.43098161914732347
6,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Euclidean,208.32059846494454,3.5787650399482804,1.0417928256128808,23.115824880132784,0.9295703031929546,0.4785402386904037,0.7532885906040269,0.7045500590175837,0.5300835179819329,3,0.4289033371754282
16,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Minkowski,1022.1627564664094,1.3176717206817725,1.9324637372226907,19.901126658262015,0.2969602973926921,0.6698234290147259,0.7211633109619687,0.6767877172342864,0.49538461538461537,2,0.420645878158806
25,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Mahalanobis,29.92761524115376,247.8760811817977,-1.5984306329505449,30.375251893090997,2.020137130717274,0.18575813982515957,0.6177181208053691,0.5658080363820046,0.38024082402437254,2,0.4091880038529492
1,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Euclidean,167.1317492995247,9.666725672525619,0.12157014558166615,23.886773286533295,0.8193575518445051,0.4028804187031369,0.7289485458612975,0.6983886546024112,0.5157474020783374,2,0.40081398296781423
29,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 100",Mahalanobis,24.197750261068947,149.4609646688932,-1.1110257417962481,30.579859825835516,1.9675076709981045,0.14751984053141023,0.6926174496644295,0.5823260182837436,0.4078607136700569,3,0.398976313001173
4,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 1e-07,T = 200",Euclidean,201.9227920969275,3.6618963072914723,1.0106000007768043,23.161751580116455,0.8497442572563646,0.4891847305409729,0.7132885906040268,0.6519020342145255,0.4722450996540932,3,0.38950324836207806
2,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Euclidean,194.17912730090993,8.902624175853763,0.2715687958888162,23.722086164820155,0.7865932330958033,0.4447855683923411,0.7046979865771812,0.6601367288669429,0.47643979057591623,2,0.38006044753328444
7,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Euclidean,91.78934070644564,6.101843597494096,0.22221077035699457,24.18297122937886,0.9709734459794106,0.4295013774516415,0.6925279642058165,0.6307138214733906,0.44891740176423417,3,0.36219498598083677
34,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Cosine,129.7959588918552,0.3252936425717901,-0.13124860332349908,17.10334001788223,0.4874937897338107,0.6566360150328525,0.7046979865771812,0.658493234287699,0.4751073644027358,2,0.3553906581327916
26,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 200",Mahalanobis,28.17304894934182,250.3447619430253,-1.6588464638192535,30.39507202706763,2.110733714396857,0.15775942070552973,0.5256375838926175,0.44828657989713167,0.27985328080423855,2,0.3250891283759645
15,gravity,"k = 3,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Manhattan,73.1236772868079,26.231337220695337,-0.005133189215900289,27.09969886647445,3.1688968272379614,0.24044457419225174,0.6151230425055928,0.5384539189292259,0.3589208525860784,3,0.32114264879035104
27,gravity,"k = 2,G0 = 0.0002,p = 0.25,epsilon = 5e-05,T = 100",Mahalanobis,27.93695309609734,250.68070819613538,-1.6672619775605582,30.397754096730583,1.860857746632293,0.18434337726133973,0.4759731543624161,0.46033889798338895,0.2817367840058874,2,0.31513031426288124
